Symbol,Company,Sector,Industry,CIK
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,16918
CEG,Constellation Energy,Utilities,Multi-Utilities,1868275
COO,CooperCompanies,Health Care,Health Care Supplies,711404
CPRT,Copart,Industrials,Diversified Support Services,900075
GLW,Corning Inc.,Information Technology,Electronic Components,24741
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,1755672
COST,Costco,Consumer Staples,Hypermarkets & Super Centers,909832
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,858470
CCI,Crown Castle,Real Estate,Specialized REITs,1051470
CSX,CSX,Industrials,Railroads,277948
CMI,Cummins,Industrials,Industrial Machinery,26172
CVS,CVS Health,Health Care,Health Care Services,64803
DHI,D.R. Horton,Consumer Discretionary,Homebuilding,882184
DHR,Danaher Corporation,Health Care,Health Care Equipment,313616
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,940944
DVA,DaVita Inc.,Health Care,Health Care Facilities,927066
DE,John Deere,Industrials,Agricultural & Farm Machinery,315189
DAL,Delta Air Lines,Industrials,Airlines,27904
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,818479
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,1090012
DXCM,Dexcom,Health Care,Health Care Equipment,1093557
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,1539838
DLR,Digital Realty,Real Estate,Specialized REITs,1297996
DFS,Discover Financial,Financials,Consumer Finance,1393612
DISH,Dish Network,Communication Services,Cable & Satellite,1001082
DIS,Disney,Communication Services,Movies & Entertainment,1744489
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,29534
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,935703
D,Dominion Energy,Utilities,Electric Utilities,715957
DPZ,Domino's,Consumer Discretionary,Restaurants,1286681
DOV,Dover Corporation,Industrials,Industrial Machinery,29905
DOW,Dow Inc.,Materials,Commodity Chemicals,1751788
DTE,DTE Energy,Utilities,Multi-Utilities,936340
DUK,Duke Energy,Utilities,Electric Utilities,1326160
DRE,Duke Realty,Real Estate,Industrial REITs,783280
DD,DuPont,Materials,Specialty Chemicals,1666700
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,1688568
EMN,Eastman Chemical Company,Materials,Diversified Chemicals,915389
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,1551182
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,1065088
ECL,Ecolab,Materials,Specialty Chemicals,31462
EIX,Edison International,Utilities,Electric Utilities,827052
EW,Edwards Lifesciences,Health Care,Health Care Equipment,1099800
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,712515
ELV,Elevance Health,Health Care,Managed Health Care,1156039
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,59478
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,32604
ENPH,Enphase,Information Technology,Electronic Components,1463101
ETR,Entergy,Utilities,Electric Utilities,65984
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,821189
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,1352010
EFX,Equifax,Industrials,Research & Consulting Services,33185
EQIX,Equinix,Real Estate,Specialized REITs,1101239
EQR,Equity Residential,Real Estate,Residential REITs,906107
ESS,Essex Property Trust,Real Estate,Residential REITs,920522
EL,The Est�e Lauder Companies,Consumer Staples,Personal Products,1001250
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,1370637
RE,Everest Re,Financials,Reinsurance,1095073
EVRG,Evergy,Utilities,Electric Utilities,1711269
ES,Eversource,Utilities,Multi-Utilities,72741
EXC,Exelon,Utilities,Multi-Utilities,1109357
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,1324424
EXPD,Expeditors International,Industrials,Air Freight & Logistics,746515
EXR,Extra Space Storage,Real Estate,Specialized REITs,1289490
XOM,ExxonMobil,Energy,Integrated Oil & Gas,34088
FFIV,"F5, Inc.",Information Technology,Communications Equipment,1048695
FDS,FactSet,Financials,Financial Exchanges & Data,1013237
FAST,Fastenal,Industrials,Building Products,815556
FRT,Federal Realty,Real Estate,Retail REITs,34903
FDX,FedEx,Industrials,Air Freight & Logistics,1048911
FITB,Fifth Third Bank,Financials,Regional Banks,35527
FRC,First Republic Bank,Financials,Regional Banks,1132979
FE,FirstEnergy,Utilities,Electric Utilities,1031296
FIS,FIS,Information Technology,Data Processing & Outsourced Services,1136893
FISV,Fiserv,Information Technology,Data Processing & Outsourced Services,798354
FLT,Fleetcor,Information Technology,Data Processing & Outsourced Services,1175454
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,37785
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,37996
FTNT,Fortinet,Information Technology,Systems Software,1262039
FTV,Fortive,Industrials,Industrial Machinery,1659166
FBHS,Fortune Brands Home & Security,Industrials,Building Products,1519751
FOXA,Fox Corporation�(Class A),Communication Services,Movies & Entertainment,1754301
FOX,Fox Corporation�(Class B),Communication Services,Movies & Entertainment,1754301
BEN,Franklin Templeton,Financials,Asset Management & Custody Banks,38777
FCX,Freeport-McMoRan,Materials,Copper,831259
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,1121788
IT,Gartner,Information Technology,IT Consulting & Other Services,749251
GNRC,Generac,Industrials,Electrical Components & Equipment,1474735
GD,General Dynamics,Industrials,Aerospace & Defense,40533
GE,General Electric,Industrials,Industrial Conglomerates,40545
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,40704
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,1467858
GPC,Genuine Parts Company,Consumer Discretionary,Specialty Stores,40987
GILD,Gilead Sciences,Health Care,Biotechnology,882095
GL,Globe Life,Financials,Life & Health Insurance,320335
GPN,Global Payments,Information Technology,Data Processing & Outsourced Services,1123360
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,886982
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,45012
HIG,Hartford (The),Financials,Property & Casualty Insurance,874766
HAS,Hasbro,Consumer Discretionary,Leisure Products,46080
HCA,HCA Healthcare,Health Care,Health Care Facilities,860730
PEAK,Healthpeak,Real Estate,Health Care REITs,765880
HSIC,Henry Schein,Health Care,Health Care Distributors,1000228
HSY,Hershey's,Consumer Staples,Packaged Foods & Meats,47111
HES,Hess Corporation,Energy,Integrated Oil & Gas,4447
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",1645590
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1585689
HOLX,Hologic,Health Care,Health Care Equipment,859737
HD,The Home Depot,Consumer Discretionary,Home Improvement Retail,354950
HON,Honeywell,Industrials,Industrial Conglomerates,773840
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,48465
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,1070750
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,4281
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",47217
HUM,Humana,Health Care,Managed Health Care,49071
HBAN,Huntington Bancshares,Financials,Regional Banks,49196
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,1501585
IBM,IBM,Information Technology,IT Consulting & Other Services,51143
IEX,IDEX Corporation,Industrials,Industrial Machinery,832101
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,874716
ITW,Illinois Tool Works,Industrials,Industrial Machinery,49826
ILMN,Illumina,Health Care,Life Sciences Tools & Services,1110803
INCY,Incyte,Health Care,Biotechnology,879169
IR,Ingersoll Rand,Industrials,Industrial Machinery,1699150
INTC,Intel,Information Technology,Semiconductors,50863
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,1571949
IP,International Paper,Materials,Paper Packaging,51434
IPG,The Interpublic Group of Companies,Communication Services,Advertising,51644
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,51253
INTU,Intuit,Information Technology,Application Software,896878
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,1035267
IVZ,Invesco,Financials,Asset Management & Custody Banks,914208
IQV,IQVIA,Health Care,Life Sciences Tools & Services,1478242
IRM,Iron Mountain,Real Estate,Specialized REITs,1020569
JBHT,J.B. Hunt,Industrials,Trucking,728535
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,779152
J,Jacobs Engineering Group,Industrials,Construction & Engineering,52988
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,200406
JCI,Johnson Controls,Industrials,Building Products,833444
JPM,JPMorgan Chase,Financials,Diversified Banks,19617
JNPR,Juniper Networks,Information Technology,Communications Equipment,1043604
K,Kellogg's,Consumer Staples,Packaged Foods & Meats,55067
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks,1418135
KEY,KeyCorp,Financials,Regional Banks,91576
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,1601046
KMB,Kimberly-Clark,Consumer Staples,Household Products,55785
KIM,Kimco Realty,Real Estate,Retail REITs,879101
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,1506307
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,319201
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,1637459
KR,Kroger,Consumer Staples,Food Retail,56873
LHX,L3Harris,Industrials,Aerospace & Defense,202058
LH,LabCorp,Health Care,Health Care Services,920148
LRCX,Lam Research,Information Technology,Semiconductor Equipment,707549
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,1679273
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,1300514
LDOS,Leidos,Industrials,Diversified Support Services,1336920
LEN,Lennar,Consumer Discretionary,Homebuilding,920760
LNC,Lincoln Financial,Financials,Multi-line Insurance,59558
LIN,Linde plc,Materials,Industrial Gases,1707925
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,1335258
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,1065696
LMT,Lockheed Martin,Industrials,Aerospace & Defense,936468
L,Loews Corporation,Financials,Multi-line Insurance,60086
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,60667
LUMN,Lumen Technologies,Communication Services,Alternative Carriers,18926
LYB,LyondellBasell,Materials,Specialty Chemicals,1489393
MTB,M&T Bank,Financials,Regional Banks,36270
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,101778
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,1510295
MKTX,MarketAxess,Financials,Financial Exchanges & Data,1278021
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1048286
MMC,Marsh McLennan,Financials,Insurance Brokers,62709
MLM,Martin Marietta Materials,Materials,Construction Materials,916076
MAS,Masco,Industrials,Building Products,62996
MA,Mastercard,Information Technology,Data Processing & Outsourced Services,1141391
MTCH,Match Group,Communication Services,Interactive Media & Services,891103
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,63754
MCD,McDonald's,Consumer Discretionary,Restaurants,63908
MCK,McKesson,Health Care,Health Care Distributors,927653
MDT,Medtronic,Health Care,Health Care Equipment,1613103
MRK,Merck & Co.,Health Care,Pharmaceuticals,310158
META,Meta Platforms,Communication Services,Interactive Media & Services,1326801
MET,MetLife,Financials,Life & Health Insurance,1099219
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,1037646
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,789570
MCHP,Microchip Technology,Information Technology,Semiconductors,827054
MU,Micron Technology,Information Technology,Semiconductors,723125
MSFT,Microsoft,Information Technology,Systems Software,789019
MAA,Mid-America Apartment Communities,Real Estate,Residential REITs,912595
MRNA,Moderna,Health Care,Biotechnology,1682852
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,851968
MOH,Molina Healthcare,Health Care,Managed Health Care,1179929
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,24545
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,1103982
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,1280452
MNST,Monster Beverage,Consumer Staples,Soft Drinks,865752
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,1059556
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,895421
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,1285785
MSI,Motorola Solutions,Information Technology,Communications Equipment,68505
MSCI,MSCI,Financials,Financial Exchanges & Data,1408198
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,1120193
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",1002047
NFLX,Netflix,Communication Services,Movies & Entertainment,1065280
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,814453
NEM,Newmont,Materials,Gold,1164727
NWSA,News Corp�(Class A),Communication Services,Publishing,1564708
NWS,News Corp�(Class B),Communication Services,Publishing,1564708
NEE,NextEra Energy,Utilities,Multi-Utilities,753308
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,1492633
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",320187
NI,NiSource,Utilities,Multi-Utilities,1111711
NDSN,Nordson Corporation,Industrials,Industrial Machinery,72331
NSC,Norfolk Southern Railway,Industrials,Railroads,702165
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,73124
NOC,Northrop Grumman,Industrials,Aerospace & Defense,1133421
NLOK,NortonLifeLock,Information Technology,Application Software,849399
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1513761
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,1013871
NUE,Nucor,Materials,Steel,73309
NVDA,Nvidia,Information Technology,Semiconductors,1045810
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,906163
NXPI,NXP Semiconductors,Information Technology,Semiconductors,1413447
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Specialty Stores,898173
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,797468
ODFL,Old Dominion,Industrials,Trucking,878927
OMC,Omnicom Group,Communication Services,Advertising,29989
ON,ON Semiconductor,Information Technology,Semiconductors,1097864
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,1039684
ORCL,Oracle Corporation,Information Technology,Application Software,1341439
OGN,Organon & Co.,Health Care,Pharmaceuticals,1821825
OTIS,Otis Worldwide,Industrials,Industrial Machinery,1781335
PCAR,Paccar,Industrials,Construction Machinery & Heavy Trucks,75362
PKG,Packaging Corporation of America,Materials,Paper Packaging,75677
PARA,Paramount Global,Communication Services,Movies & Entertainment,813828
PH,Parker Hannifin,Industrials,Industrial Machinery,76334
PAYX,Paychex,Information Technology,Data Processing & Outsourced Services,723531
PAYC,Paycom,Information Technology,Application Software,1590955
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,1633917
PENN,Penn National Gaming,Consumer Discretionary,Casinos & Gaming,921738
PNR,Pentair,Industrials,Industrial Machinery,77360
PEP,PepsiCo,Consumer Staples,Soft Drinks,77476
PKI,PerkinElmer,Health Care,Health Care Equipment,31791
PFE,Pfizer,Health Care,Pharmaceuticals,78003
PM,Philip Morris International,Consumer Staples,Tobacco,1413329
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,1534701
PNW,Pinnacle West,Utilities,Multi-Utilities,764622
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,1038357
PNC,PNC Financial Services,Financials,Regional Banks,713676
POOL,Pool Corporation,Consumer Discretionary,Distributors,945841
PPG,PPG Industries,Materials,Specialty Chemicals,79879
PPL,PPL Corporation,Utilities,Electric Utilities,922224
PFG,Principal Financial Group,Financials,Life & Health Insurance,1126328
PG,Procter & Gamble,Consumer Staples,Personal Products,80424
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,80661
PLD,Prologis,Real Estate,Industrial REITs,1045609
PRU,Prudential Financial,Financials,Life & Health Insurance,1137774
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,788784
PTC,PTC,Information Technology,Application Software,857005
PSA,Public Storage,Real Estate,Specialized REITs,1393311
PHM,PulteGroup,Consumer Discretionary,Homebuilding,822416
PVH,PVH,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",78239
QRVO,Qorvo,Information Technology,Semiconductors,1604778
PWR,Quanta Services,Industrials,Construction & Engineering,1050915
QCOM,Qualcomm,Information Technology,Semiconductors,804328
DGX,Quest Diagnostics,Health Care,Health Care Services,1022079
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1037038
RJF,Raymond James,Financials,Investment Banking & Brokerage,720005
RTX,Raytheon Technologies,Industrials,Aerospace & Defense,101829
O,Realty Income,Real Estate,Retail REITs,726728
REG,Regency Centers,Real Estate,Retail REITs,910606
REGN,Regeneron,Health Care,Biotechnology,872589
RF,Regions Financial Corporation,Financials,Regional Banks,1281761
RSG,Republic Services,Industrials,Environmental & Facilities Services,1060391
RMD,ResMed,Health Care,Health Care Equipment,943819
RHI,Robert Half,Industrials,Human Resource & Employment Services,315213
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,1024478
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,84839
ROP,Roper Technologies,Industrials,Industrial Conglomerates,882835
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,745732
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",884887
SPGI,S&P Global,Financials,Financial Exchanges & Data,64040
CRM,Salesforce,Information Technology,Application Software,1108524
SBAC,SBA Communications,Real Estate,Specialized REITs,1034054
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,87347
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",1137789
SEE,Sealed Air,Materials,Paper Packaging,1012100
SRE,Sempra Energy,Utilities,Multi-Utilities,1032208
NOW,ServiceNow,Information Technology,Systems Software,1373715
SHW,Sherwin-Williams,Materials,Specialty Chemicals,89800
SBNY,Signature Bank,Financials,Regional Banks,1288784
SPG,Simon Property Group,Real Estate,Retail REITs,1063761
SWKS,Skyworks Solutions,Information Technology,Semiconductors,4127
SJM,The J.M. Smucker Company,Consumer Staples,Packaged Foods & Meats,91419
SNA,Snap-on,Industrials,Industrial Machinery,91440
SEDG,SolarEdge,Information Technology,Semiconductor Equipment,1419612
SO,Southern Company,Utilities,Electric Utilities,92122
LUV,Southwest Airlines,Industrials,Airlines,92380
SWK,Stanley Black & Decker,Industrials,Industrial Machinery,93556
SBUX,Starbucks,Consumer Discretionary,Restaurants,829224
STT,State Street Corporation,Financials,Asset Management & Custody Banks,93751
STE,Steris,Health Care,Health Care Equipment,1757898
SYK,Stryker Corporation,Health Care,Health Care Equipment,310764
SIVB,SVB Financial,Financials,Regional Banks,719739
SYF,Synchrony Financial,Financials,Consumer Finance,1601712
SNPS,Synopsys,Information Technology,Application Software,883241
SYY,Sysco,Consumer Staples,Food Distributors,96021
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,1283699
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,1113169
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,946581
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1116132
TGT,Target Corporation,Consumer Discretionary,General Merchandise Stores,27419
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,1385157
TDY,Teledyne Technologies,Industrials,Aerospace & Defense,1094285
TFX,Teleflex,Health Care,Health Care Equipment,96943
TER,Teradyne,Information Technology,Semiconductor Equipment,97210
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,1318605
TXN,Texas Instruments,Information Technology,Semiconductors,97476
TXT,Textron,Industrials,Aerospace & Defense,217346
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,97745
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,109198
TSCO,Tractor Supply,Consumer Discretionary,Specialty Stores,916365
TT,Trane Technologies,Industrials,Building Products,1466258
TDG,TransDigm Group,Industrials,Aerospace & Defense,1260221
TRV,The Travelers Companies,Financials,Property & Casualty Insurance,86312
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,864749
TFC,Truist,Financials,Regional Banks,92230
